"Contract ","Sales Order","Created Date","Product: Product Name","Quantity Ordered","Customer ","Unit Price","Product: Metal: Metal Name","Product: Product Code"
"CON-27376","SO-15214","7/16/2020","Gold Austrian 1000 Shilling","10.000000","Central Refining","696.260000","Gold","G1000SHIL"
"CON-27710","SO-15414","7/27/2020","Gold Austrian 1000 Shilling","10.000000","Central Refining","750.710000","Gold","G1000SHIL"
"CON-31214","SO-17125","10/9/2020","Gold Austrian 1000 Shilling","8.000000","Central Refining","747.460000","Gold","G1000SHIL"
"CON-27969","SO-15555","8/3/2020","Gold Austrian 1000 Shilling","90.000000","Central Refining","766.660000","Gold","G1000SHIL"
"CON-26551","SO-14742","6/5/2020","Gold Austrian 1000 Shilling","3.000000","In God We Trust Coins","664.000000","Gold","G1000SHIL"
"CON-26304","SO-14602","5/22/2020","Gold Austrian 1000 Shilling","30.000000","Upstate Coins","672.840000","Gold","G1000SHIL"
"CON-26756","SO-14854","6/16/2020","Gold Austrian 1000 Shilling","17.000000","Central Refining","670.230000","Gold","G1000SHIL"
"CON-26237","SO-14565","5/19/2020","Gold Austrian 1000 Shilling","92.000000","Central Refining","675.270000","Gold","G1000SHIL"
"CON-28596","SO-15845","8/20/2020","Gold 100 Corona","1.000000","Elemetal Direct","1894.730000","Gold","G100COR"
"CON-34054","SO-18572","12/1/2020","Gold 100 Corona","4.000000","Central Refining","1765.150000","Gold","G100COR"
"CON-33695","SO-18371","11/13/2020","Gold 100 Corona","5.000000","Central Refining","1834.940000","Gold","G100COR"
"CON-27376","SO-15214","7/16/2020","Gold 100 Corona","2.000000","Central Refining","1747.240000","Gold","G100COR"
"CON-31623","SO-17374","10/14/2020","Gold 100 Corona","2.000000","PGS Gold and Coin","1873.170000","Gold","G100COR"
"CON-34242","SO-18680","12/8/2020","Gold 100 Corona","5.000000","Central Refining","1818.880000","Gold","G100COR"
"CON-27710","SO-15414","7/27/2020","Gold 100 Corona","24.000000","Central Refining","1883.900000","Gold","G100COR"
"CON-27923","SO-15532","7/31/2020","Gold 100 Corona","6.000000","Central Refining","1913.580000","Gold","G100COR"
"CON-28168","SO-15639","8/6/2020","Gold 100 Corona","16.000000","Central Refining","2004.880000","Gold","G100COR"
"CON-32446","SO-17820","11/6/2020","Gold 100 Corona","4.000000","Central Refining","1900.740000","Gold","G100COR"
